"UnitID","Institution.Name.1","First_Time_Total_2016","US.total_2016","Outlying.areas.total_2016","Foreign.countries_2016","Residence.not.reported_2016","Alabama_2016","Alaska_2016","Arizona_2016","Arkansas_2016","California_2016","Colorado_2016","Connecticut_2016","Delaware_2016","District.of.Columbia_2016","Florida_2016","Georgia_2016","Hawaii_2016","Idaho_2016","Illinois_2016","Indiana_2016","Iowa_2016","Kansas_2016","Kentucky_2016","Louisiana_2016","Maine_2016","Maryland_2016","Massachusetts_2016","Michigan_2016","Minnesota_2016","Mississippi_2016","Missouri_2016","Montana_2016","Nebraska_2016","Nevada_2016","New.Hampshire_2016","New.Jersey_2016","New.Mexico_2016","New.York_2016","North.Carolina_2016","North.Dakota_2016","Ohio_2016","Oklahoma_2016","Oregon_2016","Pennsylvania_2016","Rhode.Island_2016","South.Carolina_2016","South.Dakota_2016","Tennessee_2016","Texas_2016","Utah_2016","Vermont_2016","Virginia_2016","Washington_2016","West.Virginia_2016","Wisconsin_2016","Wyoming_2016","State.unknown_2016","American.Samoa_2016","Federated.States.of.Micronesia_2016","Guam_2016","Marshall.Islands_2016","Northern.Marianas_2016","Palau_2016","Puerto.Rico_2016","Virgin.Islands_2016","First_Time_Total_2014","US.total_2014","Outlying.areas.total_2014","Foreign.countries_2014","Residence.not.reported_2014","Alabama_2014","Alaska_2014","Arizona_2014","Arkansas_2014","California_2014","Colorado_2014","Connecticut_2014","Delaware_2014","District.of.Columbia_2014","Florida_2014","Georgia_2014","Hawaii_2014","Idaho_2014","Illinois_2014","Indiana_2014","Iowa_2014","Kansas_2014","Kentucky_2014","Louisiana_2014","Maine_2014","Maryland_2014","Massachusetts_2014","Michigan_2014","Minnesota_2014","Mississippi_2014","Missouri_2014","Montana_2014","Nebraska_2014","Nevada_2014","New.Hampshire_2014","New.Jersey_2014","New.Mexico_2014","New.York_2014","North.Carolina_2014","North.Dakota_2014","Ohio_2014","Oklahoma_2014","Oregon_2014","Pennsylvania_2014","Rhode.Island_2014","South.Carolina_2014","South.Dakota_2014","Tennessee_2014","Texas_2014","Utah_2014","Vermont_2014","Virginia_2014","Washington_2014","West.Virginia_2014","Wisconsin_2014","Wyoming_2014","State.unknown_2014","American.Samoa_2014","Federated.States.of.Micronesia_2014","Guam_2014","Marshall.Islands_2014","Northern.Marianas_2014","Palau_2014","Puerto.Rico_2014","Virgin.Islands_2014","First_Time_Total_2012","US.total_2012","Outlying.areas.total_2012","Foreign.countries_2012","Residence.not.reported_2012","Alabama_2012","Alaska_2012","Arizona_2012","Arkansas_2012","California_2012","Colorado_2012","Connecticut_2012","Delaware_2012","District.of.Columbia_2012","Florida_2012","Georgia_2012","Hawaii_2012","Idaho_2012","Illinois_2012","Indiana_2012","Iowa_2012","Kansas_2012","Kentucky_2012","Louisiana_2012","Maine_2012","Maryland_2012","Massachusetts_2012","Michigan_2012","Minnesota_2012","Mississippi_2012","Missouri_2012","Montana_2012","Nebraska_2012","Nevada_2012","New.Hampshire_2012","New.Jersey_2012","New.Mexico_2012","New.York_2012","North.Carolina_2012","North.Dakota_2012","Ohio_2012","Oklahoma_2012","Oregon_2012","Pennsylvania_2012","Rhode.Island_2012","South.Carolina_2012","South.Dakota_2012","Tennessee_2012","Texas_2012","Utah_2012","Vermont_2012","Virginia_2012","Washington_2012","West.Virginia_2012","Wisconsin_2012","Wyoming_2012","State.unknown_2012","American.Samoa_2012","Federated.States.of.Micronesia_2012","Guam_2012","Marshall.Islands_2012","Northern.Marianas_2012","Palau_2012","Puerto.Rico_2012","Virgin.Islands_2012","Institution.Name","Name.Abv","State","PEER","ASP","IN.STATE","SEC","PublicPrivate","City","total_2016","instate_2016","foreign_2016","oostate_2016","percent_instate_2016","percent_foreign_2016","percent_oostate_2016","total_2014","instate_2014","foreign_2014","oostate_2014","percent_instate_2014","percent_foreign_2014","percent_oostate_2014","total_2012","instate_2012","foreign_2012","oostate_2012","percent_instate_2012","percent_foreign_2012","percent_oostate_2012"
104151,"Arizona State University-Tempe",8230,7552,NA,676,2,6,13,4880,3,795,115,19,4,1,40,26,36,29,198,32,19,24,11,6,2,39,40,44,80,3,40,9,10,73,11,74,81,69,22,10,50,6,46,83,6,10,21,17,178,17,1,46,122,NA,70,7,8,NA,NA,NA,NA,NA,NA,NA,NA,7647,6858,NA,789,NA,1,14,4428,6,766,143,27,2,2,31,27,21,23,168,28,20,9,7,5,7,26,39,32,86,2,31,17,9,69,24,76,53,71,23,8,48,3,52,62,7,4,7,11,146,21,4,29,89,1,59,6,8,NA,NA,NA,NA,NA,NA,NA,NA,9265,8753,2,510,NA,NA,17,5893,1,1178,117,35,5,NA,35,23,20,21,166,21,17,14,4,3,4,34,48,42,59,3,23,11,17,80,12,89,43,77,19,5,51,6,53,72,3,4,6,13,124,25,3,28,145,1,69,7,7,NA,NA,1,NA,NA,NA,1,NA,"Arizona State University-Tempe","","Arizona","","","","","Public","Tempe",8230,4880,676,2674,59.2952612393682,8.2138517618469,32.4908869987849,7647,4428,789,2430,57.9050608081601,10.3177716751667,31.7771675166732,9265,5893,510,2862,63.6049649217485,5.5045871559633,30.8904479222882
100858,"Auburn University",4529,4452,NA,77,NA,2687,1,7,4,39,15,17,3,NA,258,626,1,3,57,11,3,NA,22,17,1,44,12,6,7,12,14,1,NA,NA,3,32,NA,11,83,NA,23,2,NA,27,NA,56,NA,148,122,NA,NA,60,7,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592,4552,NA,40,NA,2757,NA,5,7,67,14,15,1,NA,271,635,4,2,49,7,2,3,21,15,1,33,15,6,2,13,6,NA,2,NA,5,29,1,23,62,1,21,4,1,24,4,43,1,145,145,1,1,70,8,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3762,3726,NA,36,NA,2293,1,1,1,28,15,7,1,NA,193,508,NA,NA,31,6,5,3,18,13,NA,32,13,3,5,10,11,1,1,3,3,31,NA,10,48,NA,23,NA,2,25,2,22,NA,159,121,NA,2,63,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auburn University","Auburn","Alabama","Peer","","","SEC","Public","Auburn",4529,2687,77,1765,59.3287701479355,1.70015455950541,38.9710752925591,4592,2757,40,1795,60.0391986062718,0.871080139372822,39.0897212543554,3762,2293,36,1433,60.9516214779373,0.956937799043062,38.0914407230197
219602,"Austin Peay State University",1963,1963,NA,NA,NA,5,NA,3,NA,3,1,1,NA,NA,5,15,1,NA,9,3,NA,NA,34,NA,NA,2,NA,4,1,3,2,NA,NA,NA,NA,2,2,1,1,NA,10,NA,NA,NA,NA,NA,NA,1834,1,NA,NA,4,NA,NA,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1494,1489,NA,5,NA,2,NA,1,1,3,NA,NA,NA,1,5,7,1,11,5,NA,NA,27,NA,NA,NA,NA,NA,8,NA,1,4,NA,NA,NA,NA,1,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,1377,1,NA,NA,3,2,NA,1,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,1522,1519,1,2,NA,5,NA,NA,NA,2,4,NA,NA,NA,4,3,NA,NA,1,1,1,2,31,NA,1,2,NA,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,1420,1,NA,NA,1,2,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,"Austin Peay State University","Austin Peay State U.","Tennessee","","","In-State","","Public","Clarksville",1963,1834,NA,NA,93.428425878757,NA,NA,1494,1377,5,112,92.1686746987952,0.334672021419009,7.49665327978581,1522,1420,2,100,93.2982917214192,0.131406044678055,6.57030223390276
217882,"Clemson University",3684,3666,1,17,NA,15,1,1,NA,29,18,39,8,1,65,160,2,NA,50,11,NA,3,16,6,2,81,57,12,8,2,9,NA,2,NA,13,119,NA,89,224,NA,42,6,1,72,10,2282,NA,38,46,2,2,104,3,4,4,NA,7,NA,NA,NA,NA,NA,NA,NA,1,3475,3458,NA,17,NA,10,1,1,1,24,9,48,4,1,56,143,NA,NA,46,4,2,2,11,1,4,99,69,11,7,1,7,NA,1,1,14,113,NA,58,249,NA,62,2,4,71,5,2104,NA,56,34,1,3,104,3,3,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3463,3421,NA,42,NA,6,NA,1,1,23,10,30,12,1,58,176,2,NA,40,7,1,1,7,6,3,99,70,6,6,3,6,NA,NA,1,15,122,1,30,246,NA,50,2,1,56,9,2114,NA,44,36,1,3,101,3,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Clemson University","Clemson ","South Carolina","Peer","","","","Public","Clemson",3684,2282,17,1385,61.9435396308361,0.461454940282302,37.5950054288816,3475,2104,17,1354,60.5467625899281,0.489208633093525,38.9640287769784,3463,2114,42,1307,61.0453364135143,1.21282125324863,37.7418423332371
126818,"Colorado State University-Fort Collins",4942,4927,2,13,NA,3,11,38,2,260,3784,13,2,1,17,15,14,12,92,16,6,21,2,5,4,22,29,9,42,1,25,3,19,21,7,23,39,23,9,5,14,13,16,23,2,3,10,5,124,15,5,19,54,1,15,13,NA,NA,NA,NA,NA,NA,NA,2,NA,4362,4342,1,18,1,1,15,37,3,213,3319,12,2,NA,25,5,25,7,91,11,4,22,1,3,2,12,21,21,39,1,25,9,12,17,10,12,41,16,7,7,15,8,19,23,2,5,9,2,97,16,4,17,45,1,23,8,NA,NA,NA,NA,NA,NA,NA,1,NA,4544,4525,1,17,1,1,16,39,2,197,3571,9,NA,1,12,11,31,9,92,6,5,18,1,2,4,14,12,7,38,1,17,4,15,26,10,14,41,10,8,4,18,6,16,16,2,3,11,5,107,11,1,18,41,NA,11,11,NA,NA,NA,NA,NA,NA,NA,1,NA,"Colorado State University-Fort Collins","","Colorado","","","","","Public","Fort Collins",4942,3784,13,1145,76.5681910157831,0.263051396195872,23.168757588021,4362,3319,18,1025,76.0889500229253,0.412654745529574,23.4983952315452,4544,3571,17,956,78.5871478873239,0.374119718309859,21.0387323943662
220075,"East Tennessee State University",1886,1853,NA,33,NA,2,NA,NA,NA,1,NA,NA,NA,NA,15,10,NA,NA,2,3,NA,1,4,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,140,NA,11,NA,NA,3,NA,11,NA,1545,2,NA,1,91,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055,2019,NA,36,NA,1,1,1,NA,1,NA,NA,1,NA,9,9,NA,NA,3,1,1,NA,3,1,2,2,NA,3,3,1,NA,1,NA,NA,2,2,NA,NA,114,NA,9,NA,NA,7,NA,7,NA,1741,3,NA,NA,85,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082,2054,NA,28,NA,3,NA,NA,NA,2,3,3,1,NA,7,7,NA,NA,7,1,NA,1,5,NA,NA,7,3,3,2,1,2,NA,NA,1,2,3,NA,NA,93,1,3,NA,NA,2,NA,5,NA,1777,1,NA,NA,102,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Tennessee State University","East Tennessee State U.","Tennessee","","","In-State","","Public","Johnson City",1886,1545,33,308,81.9194061505832,1.74973488865323,16.3308589607635,2055,1741,36,278,84.720194647202,1.75182481751825,13.5279805352798,2082,1777,28,277,85.3506243996158,1.34486071085495,13.3045148895293
134097,"Florida State University",6190,6059,NA,131,NA,15,1,1,4,10,14,13,3,1,5290,147,NA,2,23,7,3,3,7,9,3,39,26,9,6,3,11,1,3,1,4,78,1,79,35,NA,25,2,2,32,4,18,NA,21,20,1,2,51,7,1,6,1,14,NA,NA,NA,NA,NA,NA,NA,NA,5994,5865,1,128,NA,10,NA,NA,6,12,11,15,2,2,5152,125,NA,1,35,6,2,1,5,6,3,47,11,12,6,5,8,2,NA,2,2,69,NA,85,33,NA,19,2,1,32,4,12,NA,19,27,1,NA,45,4,NA,7,2,14,NA,NA,NA,NA,NA,NA,1,NA,5712,5581,NA,131,NA,9,3,1,NA,13,8,11,2,1,5097,102,NA,NA,20,5,3,3,2,4,2,33,12,4,4,3,7,1,NA,2,5,39,1,22,20,1,7,1,1,29,3,9,NA,7,31,NA,NA,28,4,2,9,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,"Florida State University","","Florida","","","","","Public","Tallahassee",6190,5290,131,769,85.4604200323102,2.11631663974152,12.4232633279483,5994,5152,128,714,85.9526192859526,2.13546880213547,11.9119119119119,5712,5097,131,484,89.2331932773109,2.29341736694678,8.4733893557423
139755,"Georgia Institute of Technology-Main Campus",2877,2614,9,254,NA,20,1,8,1,71,16,33,7,3,148,1540,1,NA,46,7,NA,6,6,8,3,53,42,7,8,3,8,NA,2,NA,8,87,2,69,62,NA,37,2,2,57,5,14,NA,46,57,3,2,62,17,4,6,NA,24,NA,NA,NA,NA,NA,NA,6,3,2809,2541,10,258,NA,20,NA,9,2,70,14,26,4,3,169,1491,2,1,51,8,2,1,9,9,3,46,45,6,6,5,12,NA,1,3,2,71,2,59,51,1,27,NA,8,49,1,31,1,35,61,NA,2,66,14,2,7,2,31,NA,NA,NA,NA,NA,NA,10,NA,3044,2602,18,424,NA,22,2,17,NA,57,21,25,7,8,168,1552,1,NA,31,2,1,4,14,5,2,49,37,9,8,5,14,NA,3,3,11,79,NA,44,53,NA,32,1,7,44,NA,24,NA,56,72,NA,1,59,12,NA,5,NA,35,NA,NA,1,NA,NA,NA,17,NA,"Georgia Institute of Technology-Main Campus","","Georgia","","","","","Public","Atlanta",2877,1540,254,1083,53.5279805352798,8.82864094542927,37.6433785192909,2809,1491,258,1060,53.0793876824493,9.18476326094695,37.7358490566038,3044,1552,424,1068,50.9855453350854,13.9290407358738,35.0854139290407
151351,"Indiana University-Bloomington",7673,7001,1,671,NA,1,NA,9,3,192,40,69,1,6,111,38,3,NA,901,4346,7,14,29,3,2,56,55,108,42,3,80,NA,3,7,4,203,NA,154,18,NA,161,5,NA,84,2,8,NA,31,78,2,2,39,16,NA,38,NA,27,NA,NA,NA,NA,NA,NA,1,NA,7718,7086,NA,632,NA,5,1,14,2,230,23,54,1,4,89,35,1,NA,1016,4407,3,25,38,1,5,53,46,82,51,1,NA,71,9,5,2,159,1,163,17,NA,188,2,3,65,1,7,1,27,64,3,2,40,6,1,43,2,17,NA,NA,NA,NA,NA,NA,NA,NA,7613,6899,1,713,NA,6,NA,5,NA,142,9,34,4,NA,67,1,1,1,917,4681,4,10,50,3,NA,61,31,58,47,2,77,NA,6,5,1,116,NA,147,11,NA,151,1,2,58,2,2,NA,22,62,2,1,37,3,1,29,1,28,NA,NA,NA,NA,NA,NA,1,NA,"Indiana University-Bloomington","","Indiana","","","","","Public","Bloomington",7673,4346,671,2656,56.640166818715,8.74494982405839,34.6148833572266,7718,4407,632,2679,57.1002850479399,8.18864990930293,34.7110650427572,7613,4681,713,2219,61.4869302508866,9.36555891238671,29.1475108367267
153603,"Iowa State University",6325,5963,38,324,NA,2,NA,6,3,44,34,4,1,1,16,4,NA,1,1017,22,3380,33,NA,NA,1,10,6,21,816,NA,68,NA,83,4,1,9,1,7,5,5,17,4,2,14,1,1,23,3,61,1,3,11,4,NA,200,NA,13,NA,NA,NA,NA,NA,NA,38,NA,6041,5727,22,292,NA,2,NA,6,4,41,32,5,1,2,9,3,NA,2,853,11,3509,23,3,NA,3,7,5,14,705,NA,54,NA,111,2,1,11,1,13,3,2,12,4,1,9,NA,1,27,2,75,NA,NA,11,6,NA,128,NA,13,NA,NA,NA,NA,NA,NA,20,2,5366,5084,32,250,NA,NA,NA,3,NA,29,29,3,NA,2,7,2,5,1,682,10,3251,20,NA,NA,1,2,3,16,624,NA,45,2,85,2,3,1,NA,4,2,3,7,4,NA,8,NA,1,20,3,56,NA,1,7,11,1,122,1,5,NA,NA,NA,NA,NA,NA,32,NA,"Iowa State University","Iowa St","Iowa","Peer","","","","Public","Ames",6325,3380,324,2621,53.4387351778656,5.12252964426877,41.4387351778656,6041,3509,292,2240,58.0864095348452,4.83363681509684,37.0799536500579,5366,3251,250,1865,60.5851658591129,4.65896384644055,34.7558702944465
159391,"Louisiana State University and Agricultural & Mechanical College",5475,5416,1,58,NA,36,NA,5,11,41,14,7,5,2,56,106,NA,1,27,2,1,NA,9,4429,1,21,15,1,3,47,13,NA,2,1,2,26,1,10,19,NA,13,1,1,12,2,14,NA,23,394,3,NA,26,2,NA,3,NA,8,1,NA,NA,NA,NA,NA,NA,NA,5655,5573,1,81,NA,30,2,3,9,41,12,7,NA,1,60,102,2,1,30,7,1,5,9,4553,NA,27,13,6,1,46,9,1,1,3,3,18,5,19,11,NA,12,3,2,9,3,7,NA,26,418,2,NA,33,4,1,7,2,6,NA,NA,NA,NA,NA,NA,1,NA,5725,5657,1,67,NA,32,1,5,8,37,14,5,2,NA,81,96,NA,1,27,1,NA,5,9,4501,NA,13,7,8,3,40,22,2,2,4,1,21,2,11,17,NA,7,5,5,16,3,2,NA,31,550,NA,1,42,NA,2,6,NA,9,NA,NA,NA,NA,NA,NA,1,NA,"Louisiana State University and Agricultural & Mechanical College","LSU","Louisiana","Peer","","","SEC","Public","Baton Rouge",5475,4429,58,988,80.8949771689498,1.05936073059361,18.0456621004566,5655,4553,81,1021,80.5128205128205,1.43236074270557,18.0548187444739,5725,4501,67,1157,78.6200873362445,1.1703056768559,20.2096069868996
171100,"Michigan State University",8190,7060,3,1127,NA,2,1,9,3,126,11,34,1,1,41,9,4,NA,365,37,1,4,7,NA,2,26,39,5753,14,NA,16,1,5,3,5,92,2,90,16,1,106,NA,4,52,3,2,1,4,77,NA,2,34,9,1,32,11,1,NA,NA,NA,NA,NA,NA,NA,3,8055,6813,4,1238,NA,3,4,5,2,95,8,21,NA,1,52,18,3,1,335,28,1,5,7,2,1,28,28,5758,15,NA,8,NA,2,3,2,53,2,64,8,NA,64,2,NA,54,3,4,1,4,49,2,2,22,8,NA,23,12,NA,NA,NA,NA,NA,NA,NA,4,NA,8354,7069,3,1282,NA,2,NA,6,1,56,12,18,2,5,34,12,2,1,303,26,5,3,3,NA,2,21,19,6135,18,2,8,NA,3,3,4,54,1,50,9,NA,82,NA,4,30,2,4,NA,8,50,1,3,23,7,2,22,8,3,NA,NA,1,NA,NA,NA,2,NA,"Michigan State University","","Michigan","","ASP","","","Public","East Lansing",8190,5753,1127,1310,70.2442002442002,13.7606837606838,15.995115995116,8055,5758,1238,1059,71.4835505896958,15.3693358162632,13.147113594041,8354,6135,1282,937,73.4378740723007,15.3459420636821,11.2161838640172
